procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 2811696   2836 272388    0    0     0     0   65  400  0  0 100  0  0
 0  0      0 2811444   2836 272388    0    0     0     0   62  389  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 2811476   2836 272388    0    0     0     0   49  369  0  0 100  0  0
 0  0      0 2811532   2836 272388    0    0     0     0   66  406  0  0 100  0  0
 0  0      0 2811532   2836 272388    0    0     0     0   67  390  0  0 100  0  0
 0  0      0 2811532   2836 272388    0    0     0     0   67  396  0  0 100  0  0
 0  0      0 2811532   2836 272388    0    0     0     0   65  393  0  0 100  0  0
 0  0      0 2811280   2836 272388    0    0     0     0   69  413  0  0 100  0  0
 0  0      0 2811280   2836 272388    0    0     0     0   64  389  0  0 99  0  0
 0  0      0 2811280   2836 272388    0    0     0     0   49  353  0  0 100  0  0
 0  0      0 2811280   2836 272388    0    0     0     0   65  387  0  0 100  0  0
 0  0      0 2811280   2836 272388    0    0     0     0   66  401  0  0 100  0  0
 0  0      0 2811036   2836 272388    0    0     0     0   68  401  0  0 99  0  0
 0  0      0 2811036   2836 272388    0    0     0     0   66  387  0  0 100  0  0
 0  0      0 2811036   2836 272388    0    0     0     0   67  396  0  0 100  0  0
 0  0      0 2811232   2836 272388    0    0     0     0   67  405  0  0 99  0  0
 1  0      0 2811232   2836 272388    0    0     0     0   56  366  0  0 100  0  0
 0  0      0 2811288   2836 272388    0    0     0     0   63  394  0  0 100  0  0
 0  0      0 2811036   2836 272388    0    0     0     0   65  409  0  0 100  0  0
 0  0      0 2811036   2836 272388    0    0     0     0   64  391  0  0 100  0  0
 0  0      0 2811224   2836 272388    0    0     0     0   64  407  0  0 99  0  0
 0  0      0 2811224   2836 272388    0    0     0     0   67  402  0  0 99  0  0
 0  0      0 2811488   2836 272388    0    0     0     0   68  415  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 2811236   2836 272388    0    0     0     0   70  411  0  0 100  0  0
 0  0      0 2811236   2836 272388    0    0     0     0   66  398  1  0 99  0  0
 0  0      0 2811236   2836 272388    0    0     0     0   47  342  0  0 100  0  0
 0  0      0 2811236   2836 272388    0    0     0     0   66  401  0  0 100  0  0
 0  0      0 2811236   2836 272388    0    0     0     0   68  394  0  0 100  0  0
 0  0      0 2810984   2836 272388    0    0     0     0   67  405  0  0 100  0  0
